Id,Source,Target,Type,Label,Weight
203,101,269,Directed,spouse,1
204,1,102,Directed,spouse,1
205,102,1,Directed,spouse,1
206,187,103,Directed,spouse,1
207,103,187,Directed,spouse,1
208,349,104,Directed,spouse,1
209,104,349,Directed,spouse,1
210,350,105,Directed,spouse,1
211,105,350,Directed,spouse,1
212,1,106,Directed,spouse,1
213,106,1,Directed,spouse,1
214,151,107,Directed,spouse,1
215,107,151,Directed,spouse,1
216,296,108,Directed,spouse,1
217,108,296,Directed,spouse,1
218,199,109,Directed,spouse,1
219,109,199,Directed,spouse,1
220,196,110,Directed,spouse,1
221,110,196,Directed,spouse,1
222,125,111,Directed,spouse,1
223,111,125,Directed,spouse,1
224,179,112,Directed,spouse,1
225,112,179,Directed,spouse,1
226,116,114,Directed,spouse,1
227,114,116,Directed,spouse,1
228,351,115,Directed,spouse,1
229,115,351,Directed,spouse,1
230,132,117,Directed,spouse,1
231,117,132,Directed,spouse,1
232,144,118,Directed,spouse,1
233,118,144,Directed,spouse,1
234,193,119,Directed,spouse,1
235,119,193,Directed,spouse,1
236,161,120,Directed,spouse,1
237,120,161,Directed,spouse,1
238,352,121,Directed,spouse,1
239,121,352,Directed,spouse,1
240,136,122,Directed,spouse,1
241,122,136,Directed,spouse,1
242,184,123,Directed,spouse,1
243,123,184,Directed,spouse,1
244,177,126,Directed,spouse,1
245,126,177,Directed,spouse,1
246,264,127,Directed,spouse,1
247,127,264,Directed,spouse,1
248,353,128,Directed,spouse,1
249,128,353,Directed,spouse,1
250,288,129,Directed,spouse,1
251,129,288,Directed,spouse,1
252,146,130,Directed,spouse,1
253,130,146,Directed,spouse,1
254,276,131,Directed,spouse,1
255,131,276,Directed,spouse,1
256,354,133,Directed,spouse,1
257,133,354,Directed,spouse,1
258,259,134,Directed,spouse,1
259,134,259,Directed,spouse,1
260,355,139,Directed,spouse,1
261,139,355,Directed,spouse,1
262,258,140,Directed,spouse,1
263,140,258,Directed,spouse,1
264,267,141,Directed,spouse,1
265,141,267,Directed,spouse,1
266,167,142,Directed,spouse,1
267,142,167,Directed,spouse,1
268,150,143,Directed,spouse,1
269,143,150,Directed,spouse,1
270,229,144,Directed,spouse,1
271,144,229,Directed,spouse,1
272,356,145,Directed,spouse,1
273,145,356,Directed,spouse,1
274,156,148,Directed,spouse,1
275,148,156,Directed,spouse,1
276,357,149,Directed,spouse,1
277,149,357,Directed,spouse,1
278,190,152,Directed,spouse,1
279,152,190,Directed,spouse,1
280,225,153,Directed,spouse,1
281,153,225,Directed,spouse,1
282,249,154,Directed,spouse,1
283,154,249,Directed,spouse,1
284,276,155,Directed,spouse,1
285,155,276,Directed,spouse,1
286,239,157,Directed,spouse,1
